measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,2014,1144.3115833062789,1148.4508527337111,1139.6958568483415
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,2014,1083.7349609855914,1088.5828836081735,1079.6427309369205
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2014,234.73146907066547,238.98036453367513,228.04135236005274
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2014,179.22497392337016,182.88896606341265,171.7506118918956
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2015,235.33714507038192,240.2650694700927,228.53720109603472
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2015,180.59643488813794,184.3786529017247,172.8509305968668
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2015,78.75485994764846,79.89006264721837,77.66578594773236
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2015,32.07362335777012,32.73949026645198,31.11874578213346
Deaths,Russian Federation,Male,All ages,Injuries,Rate,2015,180.13561873261597,184.31291295381286,178.19606561466105
Deaths,Russian Federation,Female,All ages,Injuries,Rate,2015,47.67881076951866,48.930773082487484,46.37439266414363
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,2016,1113.5822656397252,1117.9653806618699,1107.798655410409
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,2016,1077.4554812255606,1082.023899971003,1072.9640697981602
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2016,77.00578805322267,78.28133404700235,75.67698524051465
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2016,32.09863876839958,32.788371444626065,31.118043724150525
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2017,224.60973282294097,228.93832603959717,217.33898155667438
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2017,175.42288975130248,180.54385975240072,167.31419742505867
Deaths,Russian Federation,Male,All ages,Injuries,Rate,2016,168.73171466963217,173.75618929049287,166.27374965726568
Deaths,Russian Federation,Female,All ages,Injuries,Rate,2016,45.215478904084875,46.53950693426869,43.96789483358853
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2013,81.59431068848995,82.81362810180082,80.54608056787954
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2013,31.985406059146392,32.74894193467208,31.079529988825843
Deaths,Russian Federation,Male,All ages,Injuries,Rate,2013,194.52498351343405,195.78836989701787,193.19855464957953
Deaths,Russian Federation,Female,All ages,Injuries,Rate,2013,50.44593236154774,51.16787716201716,49.30048470415131
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,2017,1056.4708031973908,1060.7745352102177,1051.5377821437753
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,2017,1053.1691739245716,1057.7587543287675,1048.6265024695238
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2016,235.71574266870874,241.50613183530947,228.87331153793505
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2016,179.5570412270705,183.6494714912604,172.08760777428557
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,2015,1125.812811443263,1130.093507576416,1120.7278999998316
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,2015,1082.4851590716462,1086.8136029106224,1078.1655998287902
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,2018,1049.8258306020334,1171.0920122523194,937.0264929981753
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,2018,1067.660858209174,1173.0496570632272,969.3963639834085
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2018,67.7173540031183,73.08524836753467,62.424050200567876
